student	gpa_before	gpa_after
1	2.1959054103678968	2.69116758324367
2	1.7931031620560913	2.3137115476793615
3	4.1541203048058355	4.635944047040173
4	4.206345762784178	4.648143216759287
5	2.8157445802330465	3.240337380964833
6	3.451002034979969	3.8634905707433873
7	3.6197529553792274	4.118903162074385
8	3.612175242600318	4.0770168655975745
9	2.4214017681486832	2.934687497325112
10	2.6139473714834427	3.137023294101884
11	3.5180716746688545	3.942495178593059
12	3.177100337868642	3.71044825626438
13	2.710310337669463	3.2556612777798137
14	3.20094469404549	3.6799230619293026
15	2.6403918278910377	3.1286677982838653
16	2.813444330215396	3.2240913419935384
17	3.729277399303736	4.200828994870426
18	3.6673603200305314	4.206826358633568
19	2.465612990060582	2.9217368784865947
20	3.2117765466623136	3.704303838032843
21	4.229962970144363	4.737665972804046
22	3.500350290999666	3.916432827572817
23	3.8915015318482444	4.483452368792973
24	2.828910343769574	3.387716601730385
25	2.7764393795963356	3.2688688766688783
26	2.9830297435667386	3.449367145707949
27	4.117512396280318	4.58689950420741
28	3.627071317809357	4.089145803225214
29	3.623879778836025	4.121523448751343
30	3.0517412442487863	3.639526593150637
31	3.7989833532339596	4.304592665507507
32	4.46568532724666	4.951057254451127
33	2.7941056491808336	3.250956764172074
34	3.1887960079754447	3.6798763381867152
35	3.467379931693801	3.9819649494098117
36	3.3418782860404566	3.876206257340654
37	3.0633439688668913	3.5761636958788316
38	2.4093614739419107	2.9221895248908556
39	3.366733866079014	3.830741167263374
40	3.510091400698929	4.0009463848678495
41	2.937197747052705	3.4653322711360284
42	3.5175166953947117	4.002801715786135
43	4.066920886069917	4.610439757019391
44	3.8528983040928853	4.383956759497156
45	3.2274605430537853	3.7776896059980922
46	3.3498257160853298	3.9658213459914675
47	3.3832632034461287	3.8355805742190494
48	3.720500227575651	4.212278665856456
49	3.69164349460816	4.232176730386659
50	2.755172497197074	3.2619441816902905
51	2.989557955963349	3.5056042801772733
52	3.267020155244299	3.8067496162527386
53	3.6006160321977956	4.120161080224946
54	3.556686550724648	3.963623804612489
55	3.40278961010963	3.8708321685787124
56	3.5540701114971744	3.9907542827516194
57	3.3500225437868907	3.824154860389431
58	3.9705391761893427	4.531437353120252
59	3.108826640174073	3.5787574100213293
60	4.95498525296082	5.472925339936618
61	2.3324251105642912	2.8167854407101816
62	3.6896695800500736	4.14142172770715
63	4.13071942410817	4.5778447681434296
64	3.391993661465901	3.898798371775994
65	3.324775929266776	3.7893746631373544
66	4.7244354794514765	5.30507844857072
67	3.332459959213548	3.833043523980619
68	3.742724310997341	4.2087805854417395
69	4.562301847002153	5.059613852457294
70	3.004703404132476	3.4939655899445063
71	3.1842647402212414	3.7442124174897486
72	3.7018774641028642	4.259759878286546
73	2.555692805003607	3.0409941527551254
74	3.944721773787968	4.388317708467714
75	2.826467508054869	3.2879074321622737
76	3.105563163671742	3.6674830253195054
77	3.3052548649250717	3.803004834981892
78	3.8750899551565525	4.340357841213172
79	3.3113682657569457	3.7550938033593657
80	4.4274506558937645	4.925029516022114
81	3.8644532326201158	4.364478926194524
82	3.306996149833669	3.818251621589218
83	3.5891735536088336	4.081487793369786
84	3.0730863191386817	3.6172563038530097
85	4.376086859747582	4.956753784472833
86	4.915563274821203	5.475261487761232
87	3.494741185542894	3.951122504475924
88	3.3709533373089995	3.866899925275287
89	3.1855418176106163	3.6527808155187356
90	4.131521589863727	4.646423275176989
91	2.8358367658517154	3.423074953789895
92	3.858296797234715	4.312688815811551
93	2.9322464304784077	3.445236918337
94	3.981671482460202	4.44666686159911
95	2.5047583445539945	2.922689153262165
96	3.128533618639644	3.630954022083512
97	2.5143679887715296	2.936510813280488
98	2.7090290478173604	3.2852852975450664
99	2.716214217179874	3.1959846786648525
100	3.817565743487653	4.26222406771935
